0.48071954,0.32658145,0.33595192,0.25180995,0.88303006,1.0,0.503236,0.27652386,1.0,0.89355415,0.65361106,0.12151722,0.48071393,1.0,0.26012436,0.25302318,0.9875887,0.22644933,0.09601621,0.7550009
0.31265086,0.25986812,0.48376992,0.26598224,0.22843236,0.0,0.32875526,0.021891832,1.0,0.06282328,0.4416625,0.49997425,0.5984643,0.0,0.4453575,0.85299146,0.0025109046,0.092206016,0.28995085,0.8011065
0.2597075,0.5040818,0.099444136,0.32377693,0.17959432,0.0,0.15855163,0.009394786,0.0,0.05116924,0.29281127,0.3545741,0.5991873,0.0,0.602907,0.87958485,0.006276849,0.043250073,0.50603026,0.075066164
0.26401818,0.3444665,0.44161326,0.24943438,0.49539754,0.0,0.6558286,0.04577066,1.0,0.45452747,0.63984567,0.1957947,0.6204099,0.0,0.5304854,0.6758125,0.0041394723,0.04050403,0.16320895,0.8080607
0.24333613,0.17636009,0.7198009,0.24637368,0.207286,1.0,0.3670654,0.0065776617,1.0,0.08103727,0.23852529,0.11229463,0.45699456,0.0,0.49643207,0.7353662,0.030714909,0.037860557,0.0960123,0.8355594
0.8464698,0.7783251,0.30220455,0.4518699,0.17776398,0.0,0.12229528,0.058962375,0.0,0.039028026,0.091250956,0.4000148,0.46430996,1.0,0.6364894,0.062986985,0.9780903,0.6302636,0.12780024,0.19850643
0.27428916,0.42766845,0.18845756,0.23267935,0.3188682,1.0,0.5180615,0.0036825393,1.0,0.23476952,0.3506279,0.21463639,0.50862205,0.0,0.4988245,0.38799876,0.7784513,0.11573134,0.07707858,0.18836014
0.55890214,0.23358305,0.11291593,0.2965565,0.24929275,1.0,0.26406872,0.014517941,0.0,0.360547,0.514078,0.2023663,0.38828558,0.0,0.3387397,0.46657044,0.004377496,0.17578286,0.16098067,0.8233282
0.55984586,0.47097415,0.54024863,0.32533625,0.9018718,1.0,0.5601828,0.0965207,1.0,0.9410961,0.7874469,0.27173802,0.43371347,0.0,0.17677449,0.3113634,0.6713491,0.14437741,0.1730262,0.78831935
0.7059892,0.49030486,0.2854927,0.27409795,0.745041,0.0,0.4058771,0.108203426,1.0,0.8599384,0.5024045,0.75643736,0.65749407,0.0,0.34611785,0.7815927,0.13378276,0.075005434,0.3146319,0.74907136
